"Chr","identity_NCBI","tx","gene","pr","identity_Zijun","identity"
"NC_050471.1",NA,"Mpha_MSTRG.10970.7","Mpha_lnc05880",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.8","Mpha_lnc05884",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10559.9","Mpha_lnc05891",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10265.11","Mpha_lnc05892",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10265.12","Mpha_lnc05892",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10739.2","Mpha_lnc05893",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10739.1","Mpha_lnc05893",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11353.14","Mpha_lnc05895",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10795.2","Mpha_lnc05896",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.2","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.11","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.3","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.17","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.15","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.4","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.19","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.18","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12328.1","Mpha_lnc05897",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11311.1","Mpha_lnc05898",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10946.1","Mpha_lnc05900",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10315.1","Mpha_lnc05902",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11738.15","Mpha_lnc05907",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12127.1","Mpha_lnc05908",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12127.4","Mpha_lnc05908",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12127.2","Mpha_lnc05908",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12127.3","Mpha_lnc05908",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11967.16","Mpha_lnc05911",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11967.17","Mpha_lnc05911",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11967.19","Mpha_lnc05911",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10400.8","Mpha_lnc05913",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11719.2","Mpha_lnc05914",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10304.24","Mpha_lnc05915",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11963.33","Mpha_lnc05918",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11967.9","Mpha_lnc05926",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.9","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.92","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.157","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.97","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.62","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.112","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.42","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.83","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.61","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.131","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.96","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.169","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.130","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.67","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.116","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.105","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.52","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.160","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.73","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.127","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.161","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.51","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.76","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.119","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.47","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.138","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.35","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.57","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.168","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.86","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.66","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.104","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.70","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.82","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.164","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.54","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.39","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.59","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.158","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.141","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.134","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.151","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.45","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.109","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.53","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.156","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.87","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.102","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.126","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.159","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.71","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.50","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.150","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.75","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.48","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.173","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.147","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.72","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.120","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.44","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.85","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.56","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.65","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.77","Mpha_lnc05927",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10265.4","Mpha_lnc05931",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10265.3","Mpha_lnc05931",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10494.2","Mpha_lnc05933",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10494.3","Mpha_lnc05933",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10494.5","Mpha_lnc05933",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10494.4","Mpha_lnc05933",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10494.1","Mpha_lnc05933",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11906.13","Mpha_lnc05935",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10269.21","Mpha_lnc05936",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10512.22","Mpha_lnc05938",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10512.23","Mpha_lnc05938",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10512.24","Mpha_lnc05938",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10512.21","Mpha_lnc05938",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10400.10","Mpha_lnc05939",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10738.2","Mpha_lnc05942",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12102.2","Mpha_lnc05945",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10250.1","Mpha_lnc05947",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10645.1","Mpha_lnc05948",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11081.1","Mpha_lnc05949",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11081.2","Mpha_lnc05949",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12077.4","Mpha_lnc05953",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10744.3","Mpha_lnc05954",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11677.6","Mpha_lnc05955",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11278.1","Mpha_lnc05956",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12056.9","Mpha_lnc05957",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12349.1","Mpha_lnc05959",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10754.1","Mpha_lnc05960",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12215.2","Mpha_lnc05962",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12215.1","Mpha_lnc05962",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11784.1","Mpha_lnc05963",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10642.1","Mpha_lnc05964",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10642.2","Mpha_lnc05964",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10268.7","Mpha_lnc05966",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10268.3","Mpha_lnc05966",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10268.8","Mpha_lnc05966",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10850.67","Mpha_lnc05969",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12156.2","Mpha_lnc05970",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11054.30","Mpha_lnc05972",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10657.1","Mpha_lnc05974",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12196.1","Mpha_lnc05976",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12196.3","Mpha_lnc05976",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12196.13","Mpha_lnc05976",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11403.1","Mpha_lnc05977",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12233.1","Mpha_lnc05981",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10796.1","Mpha_lnc05985",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12390.1","Mpha_lnc05986",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11539.8","Mpha_lnc05992",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11906.25","Mpha_lnc05993",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11906.26","Mpha_lnc05993",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10754.3","Mpha_lnc05994",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11598.2","Mpha_lnc05996",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11933.1","Mpha_lnc05998",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10970.1","Mpha_lnc05999",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10970.8","Mpha_lnc05999",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10970.3","Mpha_lnc05999",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10970.2","Mpha_lnc05999",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10755.1","Mpha_lnc06002",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11539.12","Mpha_lnc06007",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11338.8","Mpha_lnc06008",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11338.7","Mpha_lnc06008",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10691.1","Mpha_lnc06010",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10259.31","Mpha_lnc06011",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11931.2","Mpha_lnc06017",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10304.36","Mpha_lnc06021",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11536.1","Mpha_lnc06022",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10319.1","Mpha_lnc06025",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12266.5","Mpha_lnc06027",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10892.1","Mpha_lnc06028",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11785.1","Mpha_lnc06029",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11951.1","Mpha_lnc06032",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11918.76","Mpha_lnc06033",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10333.2","Mpha_lnc06038",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12054.1","Mpha_lnc06040",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12430.1","Mpha_lnc06042",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10279.1","Mpha_lnc06048",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11346.7","Mpha_lnc06049",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11267.1","Mpha_lnc06050",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12156.1","Mpha_lnc06051",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11931.1","Mpha_lnc06054",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11682.31","Mpha_lnc06056",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10316.1","Mpha_lnc06062",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10961.2","Mpha_lnc06067",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11967.28","Mpha_lnc06068",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10793.29","Mpha_lnc06071",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11605.2","Mpha_lnc06074",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12239.1","Mpha_lnc06078",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10304.62","Mpha_lnc06080",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12077.9","Mpha_lnc06083",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12077.7","Mpha_lnc06083",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11227.1","Mpha_lnc06086",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11227.2","Mpha_lnc06086",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12154.16","Mpha_lnc06087",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10795.1","Mpha_lnc06089",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11711.3","Mpha_lnc06091",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10626.1","Mpha_lnc06092",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_rna-XR_003626296.2","Mpha_lnc06094",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10269.16","Mpha_lnc06096",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10400.12","Mpha_lnc06097",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12359.8","Mpha_lnc06099",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10599.3","Mpha_lnc06100",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11918.2","Mpha_lnc06101",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11346.5","Mpha_lnc06103",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10966.3","Mpha_lnc06105",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11591.3","Mpha_lnc06106",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12102.1","Mpha_lnc06107",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12237.4","Mpha_lnc06108",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12482.1","Mpha_lnc06109",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10695.1","Mpha_lnc06114",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10324.1","Mpha_lnc06116",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10599.6","Mpha_lnc06119",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12266.2","Mpha_lnc06120",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11787.3","Mpha_lnc06128",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11787.1","Mpha_lnc06128",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11787.2","Mpha_lnc06128",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11605.1","Mpha_lnc06133",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11054.29","Mpha_lnc06137",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11243.2","Mpha_lnc06139",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11452.2","Mpha_lnc06140",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10599.11","Mpha_lnc06141",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12056.6","Mpha_lnc06142",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12056.7","Mpha_lnc06142",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12056.8","Mpha_lnc06145",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10808.1","Mpha_lnc06146",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12333.1","Mpha_lnc06147",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12113.1","Mpha_lnc06149",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12211.1","Mpha_lnc06151",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10304.7","Mpha_lnc06152",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12394.2","Mpha_lnc06154",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10276.1","Mpha_lnc06155",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10961.1","Mpha_lnc06158",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10728.3","Mpha_lnc06160",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10728.7","Mpha_lnc06160",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11486.1","Mpha_lnc06163",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10735.1","Mpha_lnc06166",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10599.10","Mpha_lnc06168",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11390.1","Mpha_lnc06171",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11539.4","Mpha_lnc06172",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10286.56","Mpha_lnc06175",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12091.27","Mpha_lnc06176",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10343.27","Mpha_lnc06177",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12276.2","Mpha_lnc06180",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10619.5","Mpha_lnc06183",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.12388.2","Mpha_lnc06184",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10400.2","Mpha_lnc06190",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.11742.2","Mpha_lnc06191",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10820.10","Mpha_lnc06192",NA,"lncRNA","lncRNA"
"NC_050471.1",NA,"Mpha_MSTRG.10738.1","Mpha_lnc06193",NA,"lncRNA","lncRNA"
